pnl_net,equity,drawdown,rolling_sharpe,rolling_expectancy,rolling_winrate
-0.3793415049863894,-52.84424478773594,-52.774637538244754,-12.256950922441053,-0.38367474312614624,0.02
-0.6001148649040056,-53.444359652639946,-53.37475240314876,-12.260994913051077,-0.38730894941898314,0.02
-0.6918828729119975,-54.13624252555194,-54.06663527606076,-13.850681835245163,-0.4063272302577036,0.0
-1.1155712153825803,-55.25181374093452,-55.18220649144334,-13.167855547623342,-0.42450413561564376,0.0
-0.5697246384479915,-55.82153837938252,-55.75193112989133,-13.323074565201427,-0.42987488038460403,0.0
-0.46157804367997546,-56.283116423062495,-56.21350917357131,-13.314843070782647,-0.42678995888460364,0.0
-0.5593618311640114,-56.842478254226506,-56.77287100473532,-13.368220268598296,-0.429883891507884,0.0
-0.5584896622079799,-57.40096791643449,-57.331360666943304,-13.371854780071208,-0.4308058150867633,0.0
-0.40086895999999017,-57.80183687643448,-57.732229626943294,-13.376023583593584,-0.4309114886867632,0.0
-0.9776481113599329,-58.77948498779441,-58.70987773830323,-13.020271873575075,-0.44239295531396183,0.0
-0.5785658040831976,-59.35805079187761,-59.288443542386425,-13.088414741980362,-0.44595188771562627,0.0
-0.40506209999999077,-59.7631128918776,-59.69350564238641,-13.335004988345641,-0.4499197211662028,0.0
-0.3602480134399744,-60.12336090531757,-60.053753655826384,-13.648296465314717,-0.45401458015129026,0.0
-0.6458011037026479,-60.769162009020214,-60.69955475952903,-14.122803574226738,-0.46411736549974386,0.0
-0.3433201873759887,-61.1124821963962,-61.042874946905016,-14.034319524709227,-0.4623509972472641,0.0
-0.13242375056064948,-61.24490594695685,-61.175298697465664,-13.736198164222314,-0.4591329849903687,0.0
-0.3658643889119942,-61.61077033586884,-61.54116308637766,-13.828571334224064,-0.4606131687686091,0.0
-0.3350915801279989,-61.94586191599684,-61.87625466650566,-14.106764955222602,-0.46393261705852934,0.0
-0.4087367713919715,-62.354598687388815,-62.28499143789763,-14.23484435513777,-0.46608671248636957,0.0
-0.30145379999997246,-62.65605248738879,-62.58644523789761,-14.126631775427844,-0.46434609488637,0.0
-0.3037875200000033,-62.95984000738879,-62.89023275789761,-14.164193695890143,-0.4648412052863703,0.0
-0.19429794911997758,-63.15413795650877,-63.084530707017585,-13.881016551438709,-0.4610744282687705,0.0
-0.3116929199999911,-63.46583087650876,-63.39622362701758,-13.891241596721752,-0.46122329626877034,0.0
-0.38528219999997115,-63.85111307650873,-63.78150582701755,-13.843330594051691,-0.460078577090594,0.0
-0.3774628846455924,-64.22857596115432,-64.15896871166314,-14.024615263715074,-0.4627298675553471,0.0
-0.4045111399999769,-64.6330871011543,-64.56347985166312,-14.084681562317943,-0.4638655946011066,0.0
-0.40587399999998464,-65.03896110115429,-64.9693538516631,-14.084768320483724,-0.46386750400110605,0.0
-0.6721728741479501,-65.71113397530223,-65.64152672581105,-14.064435329503752,-0.46595140068073737,0.0
1.0357375397712523,-64.67539643553098,-64.6057891860398,-9.776617864117876,-0.4349831618853121,0.02
-0.28032619476799714,-64.95572263029898,-64.8861153808078,-9.691426837815861,-0.42277097346947223,0.02
-0.6366847436940399,-65.59240737399301,-65.52280012450183,-9.711757394770183,-0.42535894801223334,0.02
-0.886279785895972,-66.47868715988898,-66.4090799103978,-9.780992801288868,-0.4368973317301526,0.02
-0.6017265582327602,-67.08041371812173,-67.01080646863055,-9.778094055304251,-0.43627668263364966,0.02
-0.20644339999999,-67.28685711812172,-67.21724986863053,-9.70383484509246,-0.4344292626336501,0.02
0.044128838368874046,-67.24272827975284,-67.17312103026165,-9.354636293119928,-0.4274655338662727,0.04
-0.6000951451439261,-67.84282342489676,-67.77321617540558,-9.41438094739867,-0.43136954876915135,0.04
-0.5251065529776079,-68.36792997787437,-68.29832272838318,-9.465470124544252,-0.4340000988523835,0.04
-0.1155337575200017,-68.48346373539437,-68.41385648590318,-9.254755153023073,-0.42830321920278336,0.04
-0.44578713463197417,-68.92925087002634,-68.85964362053515,-9.35899158138576,-0.43198677055590323,0.04
-0.2180549688757045,-69.14730583890204,-69.07769858941086,-9.195281603017074,-0.4258211525026983,0.04
-0.5958021657055749,-69.74310800460762,-69.67350075511644,-9.23569966946709,-0.428809196888683,0.04
-0.832730599479979,-70.5758386040876,-70.50623135459641,-9.428049481713696,-0.441679972878283,0.04
-0.31243239999999994,-70.8882710040876,-70.81866375459641,-9.423751736778687,-0.4415463027022837,0.04
-0.29954999999999266,-71.1878210040876,-71.11821375459641,-9.893473487567828,-0.4186483782363641,0.04
-0.08785587573599955,-71.27567687982359,-71.20606963033241,-9.6388379830015,-0.41269861533636404,0.04
-0.33147401003200916,-71.6071508898556,-71.53754364036442,-9.550270651719405,-0.408297016809005,0.04
-0.32584558564794613,-71.93299647550354,-71.86338922601236,-9.509137457801932,-0.40683223768082394,0.04
-0.38451070491917144,-72.31750718042271,-72.24789993093152,-9.60454747915619,-0.4096905331221038,0.04
-0.4916975846223073,-72.80920476504501,-72.73959751555383,-9.683526033387507,-0.41301690920046996,0.04
-0.4032875136705408,-73.21249227871554,-73.14288502922436,-9.741138343238982,-0.4149517799193211,0.04
-0.46558681857598233,-73.67807909729153,-73.60847184780035,-9.780394703268152,-0.416676686191113,0.04
