pnl_net,equity,drawdown
-0.1003679738879869,-153.79461442015685,-153.72500717066566
-0.14745118727036752,-153.94206560742722,-153.87245835793604
-0.17119655548799087,-154.11326216291522,-154.04365491342404
-0.27639526000000736,-154.38965742291523,-154.32005017342405
-0.23409417118318884,-154.62375159409842,-154.55414434460724
-0.16654299227197605,-154.7902945863704,-154.72068733687922
-0.29445759999997667,-155.0847521863704,-155.0151449368792
-0.2035651086871725,-155.28831729505757,-155.21871004556638
-0.18388919567998657,-155.47220649073756,-155.40259924124638
-0.510391257023995,-155.98259774776156,-155.91299049827037
-0.08425007112801983,-156.06684781888958,-155.9972405693984
-0.8051872929224002,-156.87203511181198,-156.8024278623208
-0.5185894341503934,-157.39062454596237,-157.32101729647118
-0.12710558041599068,-157.51773012637835,-157.44812287688717
-0.20167919999997766,-157.71940932637833,-157.64980207688714
-0.49785872688639127,-158.21726805326472,-158.14766080377353
-0.08841637563518343,-158.3056844288999,-158.2360771794087
0.19855683749762232,-158.10712759140227,-158.0375203419111
-0.5289968764079955,-158.63612446781028,-158.5665172183191
-0.1296141834399868,-158.76573865125027,-158.6961314017591
-0.17052719251200188,-158.93626584376227,-158.8666585942711
-0.35694101010958446,-159.29320685387185,-159.22359960438067
0.0013694794400319343,-159.29183737443182,-159.22223012494064
-0.2669678559359871,-159.5588052303678,-159.4891979808766
-0.15581438871996692,-159.71461961908776,-159.64501236959657
-0.29581174184959785,-160.01043136093736,-159.94082411144618
-0.38001800781477213,-160.39044936875214,-160.32084211926096
-0.45296798554223855,-160.8434173542944,-160.7738101048032
-0.15323461585198428,-160.99665197014636,-160.92704472065518
-0.17845520543638,-161.17510717558275,-161.10549992609157
-0.3485586023999855,-161.52366577798273,-161.45405852849154
-0.08909322246000193,-161.61275900044274,-161.54315175095155
-0.12430911799197913,-161.7370681184347,-161.66746086894352
-0.48153605068797933,-162.2186041691227,-162.14899691963151
0.9068640364084096,-161.31174013271428,-161.2421328832231
-0.28746142030398425,-161.59920155301828,-161.5295943035271
-0.2953036843007934,-161.89450523731907,-161.82489798782788
-0.23096638387199014,-162.12547162119105,-162.05586437169987
-0.6352405776879831,-162.76071219887905,-162.69110494938786
-0.1529623058879922,-162.91367450476704,-162.84406725527586
-0.3330333295919987,-163.24670783435906,-163.17710058486787
-0.8837650054559928,-164.13047283981504,-164.06086559032386
-1.573333031452811,-165.70380587126786,-165.63419862177668
-0.20358483999999683,-165.90739071126785,-165.83778346177667
-0.17652359395199668,-166.08391430521985,-166.01430705572866
-0.18154128254266005,-166.26545558776252,-166.19584833827133
-0.26977859999995824,-166.53523418776248,-166.4656269382713
-0.30512027430000616,-166.8403544620625,-166.7707472125713
-0.14582998319999668,-166.9861844452625,-166.9165771957713
-0.1666299908800004,-167.1528144361425,-167.08320718665132
-0.2446659736910351,-167.39748040983355,-167.32787316034236
-0.16775588783200035,-167.56523629766554,-167.49562904817435
-0.05525312817358055,-167.6204894258391,-167.55088217634793
-0.5153266572607687,-168.13581608309988,-168.0662088336087
-0.5152128654000157,-168.65102894849989,-168.5814216990087
